sample_id,L_over_D,CD_total,stress_max_MPa,mass_struct_kg,rcs_dbsm,J_norm,Status,rejection_reason,wall_time_s,aero_CL,aero_CD_total,aero_CD_parasitic,aero_CD_induced,aero_CD_wave,aero_L_over_D,aero_oswald_e,struct_stress_max_MPa,struct_delta_tip_m,struct_mass_struct_kg,struct_FI,struct_BF,struct_I_xx_m4,stealth_rcs_dbsm,stealth_rcs_m2,stealth_align_factor,stealth_sweep_factor,stealth_inlet_factor,wing_span,wing_area,wing_AR,body_length,cruise_mach,mass_GTOW,mass_fuel_kg,mass_payload_kg,wing_sweep_LE,inlet_shield,rcs_frontal,stealth_align_deg,vtail_cant_deg,n_max,rank
330,0.6227,1.01652,326.49,1935.4,-21.51,5.673199,Rejected,L/D 0.6 < 5.0,0.0,0.632956,1.01652,0.012279,0.026236,0.978005,0.6227,0.8849,326.49,0.4649,1935.4,0.5936,1.6846,0.00058378,-21.51,0.007069,0.7877,0.9527,0.8234,10.133295974597427,74.11390641349651,5.492823576844132,6.181122234421513,1.2963872876568474,11774.802037988124,4162.118818177449,3467.1391618930134,25.52038392650024,0.4413931021445008,-19.440128754136097,23.889049374387007,27.22459663881484,7.587232270567524,280
497,0.9649,0.83363,216.68,1616.2,-23.81,5.674479,Rejected,L/D 1.0 < 5.0,0.0,0.804394,0.83363,0.012941,0.026954,0.793735,0.9649,0.7527,216.68,0.4656,1616.2,0.394,2.5383,0.00043607,-23.81,0.004158,0.7567,0.8485,0.7861,12.526071937118603,61.27150148784536,10.15231722316475,10.233364017391455,1.2638447623265128,8275.935467934654,2668.572883877393,1326.8138240594294,37.67486231724145,0.534762660099242,-21.37157198227151,27.37486538432272,47.60714063517775,4.275785695137224,281
362,0.5226,1.336572,121.34,1799.4,-22.23,5.681068,Rejected,L/D 0.5 < 5.0,0.0,0.698427,1.336572,0.011483,0.02515,1.299939,0.5226,0.8253,121.34,0.2235,1799.4,0.2206,4.5328,0.0009135,-22.23,0.005983,0.751,0.8266,0.8048,12.677029393981512,85.16806624782171,7.480869994009168,5.558595466221288,1.329463676899695,11065.328396989516,2788.335654602052,3193.8753722320407,40.23469391329841,0.4880761619742976,-20.016246562145007,28.01178173225645,53.795030876982885,3.102567941155953,282
571,0.2852,1.856478,311.69,2108.1,-21.44,5.683305,Rejected,L/D 0.3 < 5.0,0.0,0.529553,1.856478,0.011635,0.013585,1.831257,0.2852,0.8065,311.69,0.9947,2108.1,0.5667,1.7646,0.000348,-21.44,0.007175,0.913,0.7138,0.757,14.106613424903475,96.833374467441,8.14731228971788,11.6766049652075,1.3811064840063692,12405.413267488606,4172.311968778051,2454.1712388589267,53.38544450049706,0.6075148403308125,-18.62730257780492,9.785145403853992,42.06381286051423,3.404629278053403,283
495,0.3881,1.405482,208.24,1893.1,-23.84,5.699959,Rejected,L/D 0.4 < 5.0,0.0,0.545423,1.405482,0.012041,0.018479,1.374961,0.3881,0.8732,208.24,0.3661,1893.1,0.3786,2.6411,0.00053531,-23.84,0.004133,0.8645,0.7803,0.7976,10.817457633632038,79.05221909287022,5.868542306363325,7.253772197468773,1.3430594712743518,9545.87530118328,3596.9484936576614,1496.3296919065947,45.631925369577885,0.5059926867417768,-21.951845159642417,15.249047385234569,46.434940794102815,5.555363973614874,284
66,0.3452,1.870732,176.21,2055.6,-23.37,5.702451,Rejected,L/D 0.3 < 5.0,0.0,0.645691,1.870732,0.012789,0.0237,1.834244,0.3452,0.8518,176.21,0.2228,2055.6,0.3204,3.1213,0.00130575,-23.37,0.004601,0.7434,0.7455,0.89,11.627539519887131,81.53219672337345,6.574162039026477,9.4791438614152,1.3724049664465432,10403.121345978798,2303.7643890178483,3377.2207218590206,49.68907383624401,0.2749218210930805,-21.40589536240809,28.871504831921484,29.842738670069668,6.0933706206147615,285
155,0.4687,1.513815,641.26,2257.5,-22.81,5.706045,Rejected,Stress 641 > 450 MPa; L/D 0.5 < 5.0,0.0,0.709541,1.513815,0.012255,0.023217,1.478343,0.4687,0.7903,641.26,2.1863,2257.5,1.1659,0.8577,0.00024748,-22.81,0.005231,0.9192,0.9549,0.9293,13.2904141465193,80.18362093468957,8.733438450343769,5.217567112656101,1.3454840566864723,11456.81787489704,2697.22597812155,3685.630172550832,25.26223621323384,0.1767804689768968,-22.793579251129984,9.084588653436615,18.781514106888476,6.89042273804799,286
462,0.1791,3.641081,139.54,1626.6,-24.0,5.730046,Rejected,L/D 0.2 < 5.0,0.0,0.652225,3.641081,0.010952,0.026137,3.603992,0.1791,0.8706,139.54,0.2539,1626.6,0.2537,3.9416,0.00052278,-24.0,0.003985,0.9159,0.7472,0.6805,10.981126245125246,80.34088785716534,5.950466869483986,6.538979025688175,1.4787638744948086,10852.3986759061,3909.538918967973,2413.4908946035057,49.48907668742405,0.7986663713555875,-20.787122602877467,9.456235345200732,43.719938094533774,3.163808617641876,287
595,0.3227,1.437382,321.76,2068.2,-22.29,5.73738,Rejected,L/D 0.3 < 5.0,0.0,0.463855,1.437382,0.011266,0.011194,1.414923,0.3227,0.8279,321.76,0.8643,2068.2,0.585,1.7093,0.00044889,-22.29,0.005907,0.8273,0.8767,0.6958,12.794391828366225,87.81492924845658,7.390347119768662,7.472159827785344,1.3535904983744729,13881.791029714212,6330.726878962041,2360.9463877031694,34.37925363945007,0.760579084888142,-19.71530613580088,19.4248956984752,44.16570908501334,4.57077764693539,288
666,0.4959,0.835816,394.96,2092.4,-24.07,5.741458,Rejected,L/D 0.5 < 5.0,0.0,0.414512,0.835816,0.011276,0.010211,0.814329,0.4959,0.8628,394.96,0.7886,2092.4,0.7181,1.3925,0.00040639,-24.07,0.003913,0.8085,0.7716,0.6184,11.341623506572772,82.1426477928265,6.208342308652098,9.956101717243293,1.2891676783739072,11333.51248528947,4716.960260908092,1947.048449335805,46.64946438447785,0.95411922631326,-21.0520284808236,21.542750965079613,54.43348364233573,6.638804532473412,289
174,0.2207,3.631968,323.9,1932.1,-24.13,5.742721,Rejected,L/D 0.2 < 5.0,0.0,0.801451,3.631968,0.012189,0.038386,3.581393,0.2207,0.8641,323.9,0.6141,1932.1,0.5889,1.6981,0.00041909,-24.13,0.003864,0.876,0.8459,0.7949,11.076547331774748,78.91109347576614,6.164028715917488,5.610809572527141,1.469916567354852,11305.728387601825,5656.856107686526,1136.6246928696985,37.97990863376424,0.5127247680081813,-23.08866927607104,13.955167724460669,52.02131903935542,5.737451407528695,290
408,0.4535,1.972729,645.68,2157.1,-25.68,5.762016,Rejected,Stress 646 > 450 MPa; L/D 0.5 < 5.0,0.0,0.894636,1.972729,0.012154,0.036159,1.924416,0.4535,0.7832,645.68,2.0263,2157.1,1.174,0.8518,0.00022651,-25.68,0.002705,0.8722,0.8635,0.6427,12.926536802191515,73.64135438943975,8.995731949764833,5.376909667049617,1.369720523166,9900.172372761312,3354.3109384139434,1763.6206173373864,35.91936788789879,0.8933466236703146,-23.3105751888259,14.37713149415479,35.585304840625,7.351443446829322,291
545,0.7363,1.103161,563.18,2275.2,-25.08,5.762342,Rejected,Stress 563 > 450 MPa; L/D 0.7 < 5.0,0.0,0.812253,1.103161,0.011174,0.032662,1.059325,0.7363,0.8132,563.18,2.3989,2275.2,1.024,0.9766,0.00016815,-25.08,0.003104,0.9433,0.779,0.752,13.623415517978804,93.06342504355352,7.906547298703576,11.511544849106867,1.2988897650532525,10847.020545545,3507.2437348885305,1791.701293683914,45.77813303463168,0.6200626797408456,-22.53469487012956,6.3841332186617485,16.151687643068435,5.037642145416452,292
643,0.7407,1.11082,702.13,2088.7,-23.04,5.765621,Rejected,Stress 702 > 450 MPa; L/D 0.7 < 5.0,0.0,0.822752,1.11082,0.011683,0.031433,1.067704,0.7407,0.7927,702.13,2.5884,2088.7,1.2766,0.7833,0.00020096,-23.04,0.004963,0.8985,0.9515,0.9274,13.160093990173737,79.39898378772912,8.647626774911704,5.320640608922695,1.3009243503877943,14178.42612674838,5239.546249478289,3919.568796633177,25.654261641507446,0.1815841196849755,-23.05994041672326,11.413580287910548,35.18374282155719,5.513208175854236,293
331,0.276,2.073337,149.41,2413.0,-24.68,5.781401,Rejected,L/D 0.3 < 5.0,0.0,0.5722,2.073337,0.012022,0.014949,2.046366,0.276,0.7869,149.41,0.3236,2413.0,0.2717,3.681,0.00152189,-24.68,0.003403,0.8093,0.7512,0.9053,15.604369877478003,108.9596640156487,8.859732634800483,6.83799222805536,1.392102750840698,12451.733171624204,3251.681916919101,2687.339377696906,49.02447980067471,0.2368242871536064,-22.08798009863653,21.44945142479668,20.327710770697763,3.565301893945069,294
425,0.9585,0.434543,342.57,2028.2,-24.52,5.795308,Rejected,L/D 1.0 < 5.0,0.0,0.416525,0.434543,0.010949,0.012583,0.411011,0.9585,0.9058,342.57,0.6803,2028.2,0.6229,1.6055,0.0003767,-24.52,0.003534,0.9473,0.8175,0.7748,10.494312095807564,90.10792824056422,4.845502773125423,7.575318846778357,1.219165706998402,13418.237457406858,6775.986914989296,1974.204470062616,41.29581756727755,0.5630270242655538,-23.2049953267145,5.933202493027112,50.54375971197474,5.65943401987759,295
308,0.176,3.187028,690.95,2201.4,-26.34,5.7983,Rejected,Stress 691 > 450 MPa; L/D 0.2 < 5.0,0.0,0.56094,3.187028,0.01354,0.013194,3.160294,0.176,0.7553,690.95,1.8622,2201.4,1.2563,0.796,0.00032458,-26.34,0.002323,0.8742,0.9179,0.7474,13.403483676023086,70.86916384912276,10.050136727992763,11.662258436510964,1.4576871225637589,10751.80804356464,3172.123453566161,2785.215597023924,29.57527127130789,0.6316246378949797,-24.11967426968884,14.15324371943839,28.45156247661448,7.99640343877857,296
294,0.8013,0.786145,193.73,1550.2,-25.01,5.80291,Rejected,L/D 0.8 < 5.0,0.0,0.629919,0.786145,0.011319,0.026348,0.748477,0.8013,0.8879,193.73,0.3225,1550.2,0.3522,2.839,0.0004447,-25.01,0.003153,0.7464,0.7719,0.7454,10.006432398226542,73.5263038732559,5.398954855779014,6.193749248127318,1.2680243702858345,13051.5322183022,6187.345055952618,2766.2039698082835,46.61619912523175,0.6363824062062587,-22.496481169995832,28.526714213211257,25.815295509322223,3.7567329751895824,297
162,0.1425,2.722564,301.07,2066.4,-24.32,5.816222,Rejected,L/D 0.1 < 5.0,0.0,0.387901,2.722564,0.012052,0.008699,2.701813,0.1425,0.856,301.07,0.6497,2066.4,0.5474,1.8268,0.0005465,-24.32,0.003702,0.844,0.832,0.9626,12.198239847628358,91.71489955616696,6.43203414889611,9.351704128867198,1.4471507185478345,14808.822062717654,6877.042065565984,2777.3636644745407,39.59638649168508,0.0934649103473513,-24.318912820344305,17.544564576597153,35.46922327078796,4.524377557333057,298
591,0.7344,1.195969,244.03,2412.0,-23.06,5.816936,Rejected,L/D 0.7 < 5.0,0.0,0.878264,1.195969,0.011635,0.034554,1.14978,0.7344,0.7802,244.03,0.6886,2412.0,0.4437,2.2539,0.00097253,-23.06,0.004943,0.7451,0.8548,0.7673,15.874635440476109,109.70488291867196,9.107002635672911,8.379683243093359,1.30500708704094,16798.69486710198,7540.444555658577,2655.6275987478425,36.93909092035626,0.5816367049307676,-20.571610508598443,28.681031858655093,42.19418417293477,3.4131405639508667,299
45,0.6861,1.210362,514.24,2269.7,-23.52,5.825489,Rejected,Stress 514 > 450 MPa; L/D 0.7 < 5.0,0.0,0.830403,1.210362,0.011164,0.036895,1.162302,0.6861,0.8357,514.24,1.3112,2269.7,0.935,1.0695,0.00042941,-23.52,0.004451,0.9537,0.7671,0.7171,12.973574244286402,93.73972055559152,7.118517023484126,6.258473593787263,1.3077133940616243,16527.57294711404,7736.363584512844,3383.929369946126,47.17353642537164,0.7071748320944415,-20.892755730791087,5.2034702984482815,19.12541726160802,5.343394438048046,300
