sample_id,is_feasible,CL_cruise,TSFC,body_height,body_length,body_nose_fineness,body_tail_fineness,body_width,cruise_mach,design_range,inlet_area,inlet_height,inlet_shield,inlet_width,inlet_x_frac,mass_GTOW,mass_empty_kg,mass_fuel_kg,mass_payload_kg,n_max,rcs_frontal,stealth_align_deg,thrust_cruise,thrust_max,vtail_cant_deg,vtail_root_chord_frac,vtail_span_frac,vtail_sweep,vtail_taper,vtail_tc,wing_AR,wing_area,wing_dihedral,wing_kink_eta,wing_root_chord,wing_span,wing_sweep_LE,wing_taper,wing_tc_root,wing_tc_tip,wing_tip_chord,wing_twist_root,wing_twist_tip,rejection_reason
1,1,0.31102170329287004,3.70333722763975e-05,0.7626178350667405,8.337664477495256,2.4664050629225343,3.854251311279039,0.7981877667933973,1.3846821507719145,3599.288257596247,0.5436809738708057,0.6260761208764614,0.8064294471885658,0.8683943625092929,0.233804213499972,8811.997784113337,3692.537394357114,2118.143653222743,3001.3167365334784,3.764064798562777,-11.441327014029671,19.06028412305194,73.09769740233395,73.33113963599607,48.65186621895128,0.4852689475132792,0.21225732549390125,49.24353535103822,0.5369594559048099,0.09783301134313818,5.204498355029272,65.4425485736284,4.743517763837125,0.4704354650883209,5.471365058377403,9.268780342455022,26.59396824350384,0.39508345623093094,0.10917117920382857,0.08207490829354021,2.1616458175648936,3.788405862421696,-1.9110379955491963,
2,1,0.35584531574874,2.2205403324333284e-05,0.7323109088757909,9.543487919496142,2.3676366695513393,3.451969867374799,0.930333038775553,1.271875148176242,4606.487445547804,0.08820439005243039,0.23277446919618278,0.8230729466957913,0.37892639324672484,0.37173707624877605,14880.915739046493,6368.468785727492,5548.8353959699225,2963.6115573490792,5.474938647752075,-11.480693417614653,27.233859345257223,67.60790288511447,192.65374713285684,43.64117134580343,0.443929691168353,0.25386332100029557,28.15574548355778,0.7946747201654233,0.11262740864948807,7.736859582008214,111.47517615751383,2.0199272762988727,0.39973437539673057,5.972640357578143,14.749404673326023,49.35169970163561,0.36802986595544546,0.1059673089726772,0.11121879801838136,2.198110030199568,4.286584946784208,-4.586170337803643,
4,1,0.46491967419820546,2.423949297234223e-05,0.7962868530918052,11.842477022842267,3.315816787155137,3.2896554876078405,0.7675813635745119,0.9101593174621195,5284.674891500916,0.19319778201253912,0.4235456794967821,0.39384431522253455,0.4561439092994146,0.2803527437607942,13587.317235498529,6671.192016475695,5961.2512783203765,954.8739407024589,4.82942879142104,-14.140218230553922,23.316180874331785,64.97251156563894,74.74967585216494,19.198623039490943,0.31433848142825926,0.2952073517578657,28.023433329223028,0.5576203666669123,0.07347109418295543,8.326271868919035,114.9294916760373,0.42234839595164697,0.39165874865589245,5.961341337704214,15.536174369548863,28.675719365531236,0.3415339773684792,0.09596073194445522,0.13027926018546243,2.0360006175172503,0.7158208950899421,-2.174950984281205,
11,1,0.8310078767329021,3.439296744960953e-05,0.7165690803617499,5.261647273495312,1.6274339355016365,3.7138242767333667,0.8013618650931756,1.301476409540768,5425.924234675955,0.16105384216995897,0.2947322347128859,0.06724589146101763,0.5464412208825749,0.27695687777160694,8633.28886631555,4776.95314499807,3230.7130001649643,625.6227211525173,4.104883471521246,-19.34240834019156,8.595906109819488,73.05139001476854,133.5525611122016,27.69150038526373,0.414193275005484,0.25555492462652263,34.06573255492863,0.4719608614767494,0.09783444737125631,7.23644217998588,79.7926650222477,1.6116902775680302,0.4149475018541653,6.118769552458138,12.068327403564547,38.473455254833695,0.16818078145605123,0.08887195532245346,0.07893463800000342,1.0290594448819026,1.9790812313479962,-0.13509943029056792,
12,1,0.7418121670740032,3.7073077811620004e-05,0.7204512099318345,10.848477501542396,2.1158279794682153,3.548894298973904,1.3857985621828537,1.1809882350988932,3910.848609228575,0.5099855756688023,0.6976840320987587,0.12278403564801423,0.7309692528502827,0.22947693766254465,8725.814601939093,3556.1264421602295,3491.6741272460476,1678.0140325328155,4.712758873779347,-22.926500189889772,11.9132974514272,21.101441790848092,91.2587278776031,23.436498784712967,0.3561146809426064,0.15545044894319676,36.51310603353688,0.4280673805821906,0.11341365310745877,7.415553397954437,54.67185508517972,4.249924585637102,0.28713484100103664,4.857744860124179,10.112458182002417,39.365060299140524,0.20318009350256813,0.16724313766070514,0.12499364089553854,0.9869970548916505,1.6046680872904704,-3.7900840861048914,
15,1,0.4012331040710495,2.6847226721848478e-05,0.8764046244235464,6.725120147357972,1.6486273843152295,4.454458830818281,0.6321421565032522,1.4535088964321783,4583.024622683851,0.20300638060651588,0.2636940198360183,0.3273137082770812,0.7698558379623404,0.26313545306283675,10375.232845917082,3571.3327682919403,3990.0825636702248,2813.817513954916,4.068106888128995,-16.66492942485951,21.480129806486403,29.153865591744946,99.54983658734402,38.715573746896396,0.5152646169328841,0.21776039270477476,31.389046372479733,0.3980749271587815,0.07181069640835624,5.588741322065039,61.114083016164926,6.22656020765047,0.3980557453600177,4.592289768360201,9.281767904060153,35.62455301479268,0.5500281265098323,0.16413763088074967,0.13071943463300367,2.5258885376814333,3.0821812023064132,-4.5196965575732655,
16,1,0.732509055831097,2.5084862172637902e-05,0.9034674418909319,5.777871872707939,1.999606678087309,3.717193591620645,1.3662304747601757,0.8010221674626153,4062.470387928918,0.21671202682230475,0.3622688249414198,0.5285148237025133,0.5982077725218223,0.15410384491241982,9579.294389543204,4913.100214480773,2314.332470407046,2351.861704655384,7.84968703480483,-22.294051895273938,21.371868140888836,79.53446290224878,188.9945482120143,49.99532692585795,0.38631425126758245,0.2617891029038093,35.602861503455614,0.4148269798262956,0.07369414972872071,6.283597421987243,87.13899580548006,6.00329301362445,0.45345204566606895,5.025741064528152,11.752046524754267,33.11089764652928,0.5949872170691373,0.14599382237871011,0.1349463808323792,2.9902516896936886,4.6190832255772145,-2.5590610519646075,
17,1,0.5742420397967739,3.0812947085398024e-05,0.4860332735153804,9.342522033931749,2.981947730670746,3.2412103783298454,0.6973132552081792,1.1595571638814428,5643.627625267787,0.36392184472551187,0.50858969983308,0.3622534630799486,0.715550953636992,0.2103501378438671,10251.892664034664,4359.167256532188,3656.956118064648,2235.769289437828,8.354598272264525,-20.122324037035664,29.52783065307091,43.24939046197558,76.08482903482762,20.66213689414107,0.3301525959278878,0.1985045485131144,25.53401535730354,0.719359437652721,0.065603213953068,6.913160213065485,72.39721125795815,7.836247091152346,0.367110869462945,5.31687104875806,11.23575549810291,48.838883273405756,0.3101520400207658,0.12928970776789117,0.11652231787877199,1.6490384022996607,1.6558812235943663,-4.655261663894814,
18,1,0.4058584874027453,3.857692437217251e-05,0.8464264764620935,6.882853368996422,2.3812500457279575,2.64244058360951,1.2665290335834842,1.4421767255996825,5872.857193495231,0.4674744467667656,0.6878543751792938,0.15696452754236817,0.6796125221198386,0.2622369226116519,7852.782962099859,4373.9598281278095,2379.9035333150496,1098.919600657,3.8159598393974017,-16.39274391574051,12.229095146285218,56.67294152773168,111.9511643990466,46.07825763279157,0.3081780406911222,0.25298782538192155,39.787997468042995,0.5384199266467586,0.11860722848364069,6.186868929355279,75.79456223516426,2.6812409877895975,0.33546338314303625,4.714072707071537,10.875707842526467,38.99795984542403,0.5982418820153917,0.17830075900688314,0.07970867802518053,2.8201557282358687,4.965246526910141,-3.268398559841026,
21,1,0.8787393899464166,2.2832188455108758e-05,0.9066367977071516,10.60039108103291,2.245230397315443,3.215135142037136,0.6108377037649945,1.3110382995178684,2903.0271230977123,0.11752288115466605,0.29755827236023813,0.6447027494657416,0.3949575329311876,0.3940584720943579,14088.961837415814,5685.876946704643,4447.129126236021,3955.955764475149,4.694181752286584,-4.945502045076488,26.031178070528348,44.133822851901826,114.36343701579212,15.666574405129177,0.40828663734541726,0.19178430885906478,49.40967940755167,0.5399248837806855,0.0863049695264177,8.42812781141121,93.69012275396216,7.203707025541519,0.3349196781180047,5.440107882569297,14.11287551437539,27.1974854773577,0.3192559215445067,0.1062052096609767,0.10130639079410797,1.736786655351196,1.8522267026930992,-4.161307311635163,
